"2022/04/28","14:39:58",515.64,595.76
968,896,896,
969,878,878,
970,918,918,
971,958,958,
972,876,876,
973,970,970,
974,932,932,
975,992,992,
976,930,930,
977,890,890,
978,885,885,
979,981,981,
980,954,954,
981,877,877,
982,913,913,
983,910,910,
984,944,944,
985,861,861,
986,981,981,
987,922,922,
988,934,934,
989,868,868,
990,871,871,
991,919,919,
992,1012,1012,
993,929,929,
994,977,977,
995,981,981,
996,903,903,
997,1007,1007,
998,951,951,
999,973,973,
1000,920,920,
1001,936,936,
1002,993,993,
1003,985,985,
1004,1003,1003,
1005,939,939,
1006,976,976,
1007,953,953,
1008,984,984,
1009,963,963,
1010,954,954,
1011,958,958,
1012,968,968,
1013,1048,1048,
1014,1010,1010,
1015,1003,1003,
1016,966,966,
1017,1030,1030,
1018,1010,1010,
1019,982,982,
1020,997,997,
1021,974,974,
1022,972,972,
1023,1030,1030,
1024,960,960,
1025,1018,1018,
1026,1032,1032,
1027,1005,1005,
1028,1004,1004,
1029,970,970,
1030,1052,1052,
1031,1052,1052,
1032,1004,1004,
1033,1059,1059,
1034,1015,1015,
1035,1113,1113,
1036,1086,1086,
1037,1043,1043,
1038,1083,1083,
1039,1068,1068,
1040,1032,1032,
1041,1003,1003,
1042,1039,1039,
1043,1099,1099,
1044,1039,1039,
1045,1063,1063,
1046,1056,1056,
1047,983,983,
1048,1094,1094,
1049,1072,1072,
1050,1138,1138,
1051,1088,1088,
1052,1072,1072,
1053,1050,1050,
1054,1083,1083,
1055,1086,1086,
1056,1053,1053,
1057,1106,1106,
1058,1086,1086,
1059,1102,1102,
1060,1183,1183,
1061,1098,1098,
1062,1124,1124,
1063,1124,1124,
1064,1165,1165,
1065,1086,1086,
1066,1186,1186,
1067,1181,1181,
1068,1154,1154,
1069,1104,1104,
1070,1114,1114,
1071,1108,1108,
1072,1098,1098,
1073,1115,1115,
1074,1092,1092,
1075,1112,1112,
1076,1146,1146,
1077,1134,1134,
1078,1168,1168,
1079,1095,1095,
1080,1189,1189,
1081,1158,1158,
1082,1138,1138,
1083,1209,1209,
1084,1180,1180,
1085,1169,1169,
1086,1184,1184,
1087,1180,1180,
1088,1131,1131,
1089,1210,1210,
1090,1231,1231,
1091,1226,1226,
1092,1221,1221,
1093,1263,1263,
1094,1242,1242,
1095,1228,1228,
1096,1249,1249,
1097,1266,1266,
1098,1227,1227,
1099,1282,1282,
1100,1283,1283,
1101,1278,1278,
1102,1277,1277,
1103,1243,1243,
1104,1217,1217,
1105,1304,1304,
1106,1329,1329,
1107,1293,1293,
1108,1333,1333,
1109,1265,1265,
1110,1357,1357,
1111,1333,1333,
1112,1312,1312,
1113,1325,1325,
1114,1342,1342,
1115,1293,1293,
1116,1326,1326,
1117,1335,1335,
1118,1316,1316,
1119,1312,1312,
1120,1340,1340,
1121,1338,1338,
1122,1277,1277,
1123,1297,1297,
1124,1376,1376,
1125,1268,1268,
1126,1313,1313,
1127,1349,1349,
1128,1335,1335,
1129,1379,1379,
1130,1371,1371,
1131,1323,1323,
1132,1385,1385,
1133,1364,1364,
1134,1386,1386,
1135,1301,1301,
1136,1395,1395,
1137,1329,1329,
1138,1373,1373,
1139,1316,1316,
1140,1308,1308,
1141,1285,1285,
1142,1249,1249,
1143,1217,1217,
1144,1256,1256,
1145,1138,1138,
1146,1133,1133,
1147,1161,1161,
1148,1105,1105,
1149,1032,1032,
1150,1020,1020,
1151,1042,1042,
1152,1021,1021,
1153,1043,1043,
1154,1000,1000,
1155,1015,1015,
1156,989,989,
1157,993,993,
1158,1018,1018,
1159,1014,1014,
1160,988,988,
1161,928,928,
1162,951,951,
1163,940,940,
1164,941,941,
1165,1029,1029,
1166,961,961,
1167,1014,1014,
1168,969,969,
1169,977,977,
1170,972,972,
1171,941,941,
1172,987,987,
1173,942,942,
1174,881,881,
1175,947,947,
1176,984,984,
1177,941,941,
1178,952,952,
1179,1003,1003,
1180,951,951,
1181,1038,1038,
1182,914,914,
1183,960,960,
1184,968,968,
1185,941,941,
1186,878,878,
1187,885,885,
1188,932,932,
1189,924,924,
1190,927,927,
1191,948,948,
1192,920,920,
1193,949,949,
1194,901,901,
1195,951,951,
1196,918,918,
1197,860,860,
1198,906,906,
1199,973,973,
1200,992,992,
1201,937,937,
1202,909,909,
1203,892,892,
1204,900,900,
1205,900,900,
1206,931,931,
1207,918,918,
1208,927,927,
1209,905,905,
1210,897,897,
1211,965,965,
1212,953,953,
1213,978,978,
1214,880,880,
1215,925,925,
1216,923,923,
1217,951,951,
1218,884,884,
1219,879,879,
