"2022/04/28","14:22:15",229.24,600
743,1853,1853,
744,1814,1814,
745,1807,1807,
746,1761,1761,
747,1820,1820,
748,1749,1749,
749,1854,1854,
750,1820,1820,
751,1802,1802,
752,1811,1811,
753,1747,1747,
754,1805,1805,
755,1834,1834,
756,1867,1867,
757,1783,1783,
758,1859,1859,
759,1878,1878,
760,1935,1935,
761,1918,1918,
762,1958,1958,
763,2002,2002,
764,2175,2175,
765,2285,2285,
766,2566,2566,
767,2802,2802,
768,3222,3222,
769,3976,3976,
770,4715,4715,
771,5753,5753,
772,7260,7260,
773,9315,9315,
774,11906,11906,
775,14887,14887,
776,18804,18804,
777,23015,23015,
778,28206,28206,
779,34871,34871,
780,45056,45056,
781,62983,62983,
782,96948,96948,
783,143657,143657,
784,162782,162782,
785,133432,133432,
786,84034,84034,
787,43854,43854,
788,22892,22892,
789,14016,14016,
790,10789,10789,
791,9290,9290,
792,8383,8383,
793,7767,7767,
794,7352,7352,
795,6881,6881,
796,6541,6541,
797,6278,6278,
798,5958,5958,
799,5612,5612,
800,5319,5319,
801,5175,5175,
802,4982,4982,
803,4818,4818,
804,4751,4751,
805,4468,4468,
806,4388,4388,
807,4297,4297,
808,4294,4294,
809,4285,4285,
810,4042,4042,
811,3944,3944,
812,3972,3972,
813,3946,3946,
814,3889,3889,
815,3939,3939,
816,3898,3898,
817,3848,3848,
818,3938,3938,
819,3808,3808,
820,3971,3971,
821,3833,3833,
822,3696,3696,
823,3409,3409,
824,3061,3061,
825,2875,2875,
826,2716,2716,
827,2643,2643,
828,2539,2539,
829,2423,2423,
830,2303,2303,
831,2246,2246,
832,2189,2189,
833,2196,2196,
834,2233,2233,
835,2072,2072,
836,2123,2123,
837,2048,2048,
838,2018,2018,
839,2019,2019,
840,2013,2013,
841,2074,2074,
842,2085,2085,
843,2066,2066,
844,1954,1954,
845,1944,1944,
846,1940,1940,
847,1913,1913,
848,1975,1975,
849,1888,1888,
850,1887,1887,
851,1849,1849,
852,1850,1850,
853,1863,1863,
854,1851,1851,
855,1867,1867,
856,1787,1787,
857,1764,1764,
858,1771,1771,
859,1770,1770,
860,1707,1707,
861,1696,1696,
862,1728,1728,
863,1687,1687,
864,1742,1742,
865,1730,1730,
866,1626,1626,
867,1697,1697,
868,1662,1662,
869,1609,1609,
870,1634,1634,
871,1670,1670,
872,1607,1607,
873,1597,1597,
874,1578,1578,
875,1674,1674,
876,1546,1546,
877,1609,1609,
878,1616,1616,
879,1563,1563,
880,1534,1534,
881,1538,1538,
882,1480,1480,
883,1427,1427,
884,1526,1526,
885,1522,1522,
886,1506,1506,
887,1544,1544,
888,1452,1452,
889,1509,1509,
890,1543,1543,
891,1480,1480,
892,1436,1436,
893,1443,1443,
894,1433,1433,
895,1420,1420,
896,1446,1446,
897,1469,1469,
898,1394,1394,
899,1444,1444,
900,1432,1432,
901,1429,1429,
902,1409,1409,
903,1463,1463,
904,1435,1435,
905,1366,1366,
906,1381,1381,
907,1322,1322,
908,1407,1407,
909,1338,1338,
910,1435,1435,
911,1382,1382,
912,1429,1429,
913,1402,1402,
914,1342,1342,
915,1346,1346,
916,1359,1359,
917,1331,1331,
918,1367,1367,
919,1328,1328,
920,1369,1369,
921,1253,1253,
922,1355,1355,
923,1379,1379,
924,1317,1317,
925,1408,1408,
926,1309,1309,
927,1300,1300,
928,1273,1273,
929,1337,1337,
930,1307,1307,
931,1299,1299,
932,1303,1303,
933,1304,1304,
934,1287,1287,
935,1261,1261,
936,1163,1163,
937,1311,1311,
938,1254,1254,
939,1234,1234,
940,1278,1278,
941,1285,1285,
942,1283,1283,
943,1206,1206,
944,1210,1210,
945,1248,1248,
946,1308,1308,
947,1205,1205,
948,1186,1186,
949,1177,1177,
950,1201,1201,
951,1218,1218,
952,1214,1214,
953,1244,1244,
954,1187,1187,
955,1220,1220,
