"2022/04/28","13:49:13",593.6,600
1194,4,4,
1195,11,11,
1196,8,8,
1197,7,7,
1198,8,8,
1199,6,6,
1200,5,5,
1201,8,8,
1202,4,4,
1203,7,7,
1204,7,7,
1205,7,7,
1206,6,6,
1207,7,7,
1208,14,14,
1209,3,3,
1210,15,15,
1211,15,15,
1212,8,8,
1213,9,9,
1214,11,11,
1215,8,8,
1216,9,9,
1217,4,4,
1218,9,9,
1219,7,7,
1220,6,6,
1221,10,10,
1222,9,9,
1223,8,8,
1224,8,8,
1225,4,4,
1226,6,6,
1227,8,8,
1228,11,11,
1229,6,6,
1230,15,15,
1231,6,6,
1232,10,10,
1233,8,8,
1234,8,8,
1235,9,9,
1236,8,8,
1237,12,12,
1238,13,13,
1239,7,7,
1240,8,8,
1241,6,6,
1242,9,9,
1243,8,8,
1244,10,10,
1245,8,8,
1246,6,6,
1247,9,9,
1248,11,11,
1249,11,11,
1250,8,8,
1251,7,7,
1252,7,7,
1253,6,6,
1254,6,6,
1255,7,7,
1256,4,4,
1257,8,8,
1258,12,12,
1259,3,3,
1260,13,13,
1261,14,14,
1262,10,10,
1263,9,9,
1264,12,12,
1265,10,10,
1266,5,5,
1267,8,8,
1268,10,10,
1269,6,6,
1270,8,8,
1271,10,10,
1272,12,12,
1273,9,9,
1274,10,10,
1275,6,6,
1276,9,9,
1277,5,5,
1278,13,13,
1279,5,5,
1280,9,9,
1281,8,8,
1282,4,4,
1283,10,10,
1284,4,4,
1285,8,8,
1286,8,8,
1287,6,6,
1288,14,14,
1289,9,9,
1290,7,7,
1291,14,14,
1292,7,7,
1293,10,10,
1294,7,7,
1295,10,10,
1296,8,8,
1297,9,9,
1298,7,7,
1299,8,8,
1300,15,15,
1301,7,7,
1302,12,12,
1303,12,12,
1304,6,6,
1305,10,10,
1306,7,7,
1307,6,6,
1308,10,10,
1309,9,9,
1310,7,7,
1311,6,6,
1312,6,6,
1313,3,3,
1314,7,7,
1315,17,17,
1316,6,6,
1317,6,6,
1318,7,7,
1319,12,12,
1320,14,14,
1321,9,9,
1322,5,5,
1323,8,8,
1324,5,5,
1325,13,13,
1326,10,10,
1327,16,16,
1328,11,11,
1329,21,21,
1330,26,26,
1331,14,14,
1332,24,24,
1333,8,8,
1334,8,8,
1335,4,4,
1336,7,7,
1337,6,6,
1338,11,11,
1339,9,9,
1340,11,11,
1341,7,7,
1342,7,7,
1343,8,8,
1344,9,9,
1345,7,7,
1346,9,9,
1347,7,7,
1348,8,8,
1349,12,12,
1350,11,11,
1351,6,6,
1352,7,7,
1353,11,11,
1354,6,6,
1355,9,9,
1356,9,9,
1357,5,5,
1358,10,10,
1359,4,4,
1360,12,12,
1361,9,9,
1362,10,10,
1363,5,5,
1364,11,11,
1365,5,5,
1366,11,11,
1367,7,7,
1368,10,10,
1369,4,4,
1370,4,4,
1371,14,14,
1372,7,7,
1373,10,10,
1374,12,12,
1375,10,10,
1376,12,12,
1377,9,9,
1378,11,11,
1379,8,8,
1380,6,6,
1381,8,8,
1382,11,11,
1383,11,11,
1384,8,8,
1385,8,8,
1386,4,4,
1387,6,6,
1388,10,10,
1389,11,11,
1390,12,12,
1391,11,11,
1392,9,9,
1393,6,6,
1394,7,7,
1395,10,10,
1396,7,7,
1397,8,8,
1398,8,8,
1399,10,10,
1400,10,10,
1401,7,7,
1402,10,10,
1403,13,13,
1404,9,9,
1405,9,9,
1406,12,12,
1407,11,11,
1408,11,11,
1409,16,16,
1410,13,13,
1411,7,7,
1412,10,10,
1413,7,7,
1414,13,13,
1415,6,6,
1416,11,11,
1417,15,15,
1418,11,11,
1419,15,15,
1420,6,6,
1421,9,9,
1422,10,10,
1423,10,10,
1424,10,10,
1425,5,5,
1426,9,9,
1427,7,7,
1428,7,7,
1429,10,10,
1430,10,10,
1431,11,11,
1432,10,10,
1433,14,14,
1434,13,13,
1435,9,9,
1436,6,6,
1437,7,7,
1438,5,5,
1439,13,13,
1440,10,10,
1441,8,8,
1442,8,8,
1443,11,11,
1444,12,12,
1445,9,9,
1446,13,13,
1447,8,8,
1448,9,9,
1449,10,10,
1450,11,11,
1451,8,8,
1452,12,12,
1453,9,9,
1454,4,4,
1455,16,16,
1456,8,8,
1457,6,6,
1458,9,9,
1459,12,12,
1460,15,15,
1461,10,10,
1462,9,9,
1463,14,14,
1464,8,8,
1465,7,7,
1466,12,12,
1467,13,13,
1468,9,9,
1469,11,11,
1470,13,13,
1471,17,17,
1472,13,13,
1473,13,13,
1474,16,16,
1475,13,13,
1476,10,10,
1477,8,8,
1478,9,9,
1479,7,7,
1480,5,5,
1481,4,4,
1482,8,8,
1483,5,5,
1484,8,8,
1485,13,13,
1486,4,4,
1487,5,5,
1488,8,8,
1489,8,8,
1490,4,4,
1491,7,7,
1492,5,5,
1493,3,3,
1494,3,3,
1495,11,11,
1496,7,7,
1497,9,9,
1498,5,5,
1499,5,5,
1500,8,8,
1501,6,6,
1502,7,7,
1503,6,6,
1504,6,6,
1505,6,6,
1506,5,5,
1507,5,5,
1508,7,7,
1509,3,3,
1510,3,3,
1511,5,5,
1512,5,5,
1513,7,7,
1514,6,6,
1515,7,7,
